ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
531	"ENSG00000181019.12"	"NQO1"	chr16	-	69713027	69713129	69714963	69715077	69709400	69711281	69718122	69718253	531	2139,1742,688	2209,1748,735	1853,1499,1445	2410,2153,2220	203	191	0.000249552588019	0.00369287415604	0.477,0.484,0.468	0.42,0.396,0.38	0.078
1565	"ENSG00000128989.10"	"ARPP19"	chr15	-	52564189	52564246	52568847	52568900	52557099	52557222	52569115	52569167	1565	323,252,125	19,26,10	149,156,194	3,4,8	142	146	0.00026043470464	0.00377285754316	0.946,0.909,0.928	0.981,0.976,0.961	-0.045
1823	"ENSG00000182389.19"	"CACNB4"	chr2	-	151860710	151860820	151872416	151872493	151855223	151855375	151876425	151876556	1823	5,4,6	2,0,0	1,5,14	9,3,3	166	199	0.000261655352866	0.00377285754316	0.75,1.0,1.0	0.118,0.666,0.848	0.373
2358	"ENSG00000151116.16"	"UEVLD"	chr11	-	18570213	18570377	18575346	18575412	18566346	18566482	18578723	18578808	2358	49,52,25	117,109,57	9,16,13	41,59,95	155	253	0.000262683596862	0.00377285754316	0.406,0.438,0.417	0.264,0.307,0.183	0.169
1058	"ENSG00000179818.13"	"PCBP1-AS1"	chr2	-	70018014	70018131	70051202	70051305	69996685	69996888	70055713	70055910	1058	26,14,3	1,2,0	5,8,9	6,2,3	192	206	0.000269313062994	0.00383052075035	0.965,0.882,1.0	0.472,0.811,0.763	0.267
1833	"ENSG00000141644.17"	"MBD1"	chr18	-	50274185	50274353	50274976	50275045	50273563	50273863	50275128	50275245	1833	84,88,35	116,111,49	98,46,102	59,42,81	158	257	0.000275678154544	0.00388335092699	0.541,0.563,0.537	0.73,0.64,0.672	-0.134
524	"ENSG00000185379.20"	"RAD51D"	chr17	-	35106987	35107122	35116858	35117037	35106440	35106481	35118500	35118619	524	5,9,0	47,71,18	9,2,6	3,3,16	268	224	0.000280505760588	0.00391372323106	0.082,0.096,0.0	0.715,0.358,0.239	-0.378
1844	"ENSG00000117640.17"	"MTFR1L"	chr1	+	25823237	25823323	25823345	25823439	25823018	25823128	25823643	25823748	1844	4,7,2	1,0,0	5,6,15	6,0,4	175	183	0.000313258366441	0.00432946704562	0.807,1.0,1.0	0.466,1.0,0.797	0.181
1890	"ENSG00000162601.9"	"MYSM1"	chr1	-	58668429	58668566	58668631	58668682	58667846	58667921	58668983	58669038	1890	68,69,35	12,15,6	28,38,59	22,17,22	140	226	0.000335423361231	0.00459247873087	0.901,0.881,0.904	0.673,0.783,0.812	0.139
6	"ENSG00000139436.20"	"GIT2"	chr12	-	109947255	109947504	109951211	109951316	109939164	109939247	109953091	109953234	6	108,109,26	123,88,42	72,86,107	50,40,53	194	338	0.000340980965652	0.00462534365445	0.605,0.683,0.519	0.715,0.789,0.779	-0.159
2232	"ENSG00000196141.13"	"SPATS2L"	chr2	+	200372108	200372251	200383866	200384017	200329430	200329480	200389222	200389283	2232	24,55,15	44,26,27	7,9,18	55,30,58	232	240	0.000373243992566	0.00501653623036	0.361,0.686,0.365	0.116,0.237,0.243	0.272
24	"ENSG00000010810.17"	"FYN"	chr6	-	111699514	111699670	111700103	111700268	111696276	111696456	111702884	111703034	24	35,20,18	28,29,21	80,64,72	38,31,32	254	245	0.000377728409428	0.00503065563465	0.547,0.399,0.453	0.67,0.666,0.685	-0.207
1136	"ENSG00000008517.16"	"IL32"	chr16	+	3067553	3067613	3067983	3068010	3067376	3067415	3068179	3068239	1136	15,8,2	1,2,0	1,5,3	6,3,1	149	116	0.000398597404816	0.00526076755005	0.921,0.757,1.0	0.115,0.565,0.7	0.433
1057	"ENSG00000179818.13"	"PCBP1-AS1"	chr2	-	70018014	70018131	70051202	70051305	69996685	69996888	70077300	70077381	1057	18,10,4	1,2,0	4,5,9	6,2,3	192	206	0.000418450199732	0.00547347805899	0.951,0.843,1.0	0.417,0.728,0.763	0.295
186	"ENSG00000060762.18"	"MPC1"	chr6	-	166366968	166367184	166368732	166368961	166366794	166366891	166370217	166370221	186	9,10,1	2,0,0	2,2,2	0,4,3	318	305	0.000423186098399	0.00548643924031	0.812,1.0,1.0	1.0,0.324,0.39	0.366
1103	"ENSG00000179818.13"	"PCBP1-AS1"	chr2	-	70055655	70055910	70059642	70059680	70051202	70051305	70077300	70077381	1103	1,5,4	6,12,6	0,2,0	2,10,8	127	344	0.000456116398076	0.00586149581738	0.311,0.53,0.644	0.0,0.351,0.0	0.378
746	"ENSG00000028528.14"	"SNX1"	chr15	+	64123502	64123546	64126078	64126220	64112572	64112684	64127173	64127252	746	9,2,4	514,480,215	18,9,8	293,335,378	133	231	0.000472033238142	0.00601329299024	0.03,0.007,0.031	0.096,0.045,0.035	-0.036
1131	"ENSG00000198467.13"	"TPM2"	chr9	-	35684731	35684807	35685063	35685139	35684487	35684550	35685268	35685339	1131	3125,3103,1662	1145,1232,665	2371,2640,2958	562,730,1042	165	165	0.000585038964393	0.00738863864514	0.732,0.716,0.714	0.808,0.783,0.739	-0.056
1935	"ENSG00000015153.14"	"YAF2"	chr12	-	42199135	42199235	42210547	42210619	42161612	42161765	42237598	42237724	1935	4,1,2	2,0,0	2,4,1	1,3,5	161	189	0.000608504099331	0.00761930346598	0.701,1.0,1.0	0.701,0.61,0.19	0.4
1600	"ENSG00000152457.17"	"DCLRE1C"	chr10	-	14945434	14945565	14947524	14947609	14945104	14945189	14949035	14949087	1600	18,11,4	7,3,0	1,0,1	5,5,0	174	220	0.000614098561625	0.00762418976933	0.765,0.823,1.0	0.202,0.0,1.0	0.462
197	"ENSG00000164548.10"	"TRA2A"	chr7	-	23522131	23522432	23531180	23531270	23521706	23521840	23531788	23532041	197	56,25,15	141,99,55	21,29,41	97,175,314	179	390	0.000628642663754	0.00773917228907	0.464,0.355,0.373	0.321,0.265,0.221	0.128
1731	"ENSG00000102054.17"	"RBBP7"	chrX	-	16852415	16852550	16852550	16852628	16852045	16852122	16852748	16852875	1731	1554,1199,573	42,32,17	687,824,1101	7,15,14	167	224	0.000733277083169	0.00895209105702	0.98,0.98,0.978	0.992,0.987,0.991	-0.011
248	"ENSG00000166145.14"	"SPINT1"	chr15	+	40854059	40854086	40854396	40854522	40853710	40853881	40854638	40854689	248	60,70,42	356,315,106	45,48,48	355,299,491	116	215	0.000912013665763	0.0110421489285	0.238,0.292,0.423	0.19,0.229,0.153	0.127
149	"ENSG00000125885.13"	"MCM8"	chr20	+	5972006	5972037	5972575	5972726	5967829	5968025	5973055	5973196	149	177,163,83	14,14,5	55,53,65	1,2,1	120	240	0.00093694126741	0.0112137729701	0.962,0.959,0.971	0.991,0.981,0.992	-0.024
2437	"ENSG00000148737.16"	"TCF7L2"	chr10	+	113158666	113158717	113159919	113159992	113158020	113158069	113160618	113160691	2437	45,35,10	19,19,5	11,20,26	1,4,4	140	162	0.000945438385167	0.0112137729701	0.733,0.681,0.698	0.927,0.853,0.883	-0.184
506	"ENSG00000197555.9"	"SIPA1L1"	chr14	+	71400793	71400918	71413947	71414014	71321121	71321181	71512742	71512845	506	3,3,1	16,5,6	0,0,0	7,3,3	214	156	0.000949152114875	0.0112137729701	0.12,0.304,0.108	0.0,0.0,0.0	0.177
1561	"ENSG00000204138.12"	"PHACTR4"	chr1	+	28432930	28433046	28457831	28457859	28407409	28407463	28459084	28459258	1561	2,0,0	10,6,1	0,3,4	1,1,3	205	117	0.00102800109718	0.0120481728589	0.102,0.0,0.0	0.0,0.631,0.432	-0.32
37	"ENSG00000099783.11"	"HNRNPM"	chr19	+	8462528	8462589	8463496	8463504	8455404	8455574	8463592	8463686	37	1875,1888,795	77,206,33	279,318,349	12,8,13	150	97	0.00104319932645	0.0121292620099	0.94,0.856,0.94	0.938,0.963,0.946	-0.037
61	"ENSG00000119681.11"	"LTBP2"	chr14	-	74507178	74507310	74507972	74508095	74506697	74506823	74508603	74508729	61	1,1,0	3,4,4	4,3,5	5,7,12	212	221	0.00109654037451	0.0126490680997	0.258,0.207,0.0	0.455,0.309,0.303	-0.201
815	"ENSG00000196295.11"	"AC005154.6"	chr7	-	30576563	30576710	30579005	30579128	30568832	30568989	30579230	30579314	815	3,2,1	0,1,1	1,6,4	1,5,5	212	236	0.00112824976405	0.0129131711276	1.0,0.69,0.527	0.527,0.572,0.471	0.216
807	"ENSG00000183317.16"	"EPHA10"	chr1	-	37722005	37722296	37722804	37722931	37721659	37721845	37723040	37723166	807	1,0,0	1,5,2	0,2,5	5,5,7	216	380	0.00118472544627	0.0134544401456	0.638,0.0,0.0	0.0,0.413,0.557	-0.111
2395	"ENSG00000175581.13"	"MRPL48"	chr11	+	73817822	73817947	73823012	73823070	73808312	73808350	73825707	73825796	2395	26,31,10	1,4,3	10,24,7	1,0,0	214	147	0.00123526599378	0.0139204975453	0.947,0.842,0.696	0.873,1.0,1.0	-0.129
2371	"ENSG00000138380.17"	"CARF"	chr2	+	202924296	202924415	202942739	202942967	202917876	202918043	202952558	202952679	2371	6,3,0	4,4,2	0,2,0	5,3,11	208	317	0.00138093456616	0.0154432758735	0.696,0.533,0.0	0.0,0.504,0.0	0.242
1109	"ENSG00000179818.13"	"PCBP1-AS1"	chr2	-	70055713	70055910	70059642	70059680	70051202	70051305	70077300	70077381	1109	1,5,4	14,15,5	0,2,0	3,9,8	127	286	0.0014315893962	0.015888473223	0.139,0.429,0.643	0.0,0.334,0.0	0.292
2419	"ENSG00000170632.13"	"ARMC10"	chr7	+	103086868	103086937	103092476	103092653	103086629	103086764	103097276	103097348	2419	14,17,3	715,676,320	8,3,1	324,614,672	158	266	0.00147713050891	0.0162706480869	0.032,0.041,0.016	0.04,0.008,0.002	0.013
2427	"ENSG00000183597.15"	"TANGO2"	chr22	+	20053436	20053551	20055942	20056013	20052464	20052584	20063337	20063442	2427	33,36,14	26,27,12	8,6,5	21,16,6	204	160	0.00154769578382	0.0168302910081	0.499,0.511,0.478	0.23,0.227,0.395	0.212
798	"ENSG00000176124.11"	"DLEU1"	chr13	+	50390197	50390291	50415088	50415202	50083141	50083194	50433412	50433550	798	2,4,1	0,23,3	0,0,1	6,6,6	183	203	0.00156240244171	0.0168302910081	1.0,0.162,0.27	0.0,0.0,0.156	0.425
799	"ENSG00000176124.11"	"DLEU1"	chr13	+	50390197	50390291	50415088	50415202	50082170	50082557	50433412	50433550	799	2,4,1	0,23,3	0,0,1	6,6,6	183	203	0.00156240244171	0.0168302910081	1.0,0.162,0.27	0.0,0.0,0.156	0.425
800	"ENSG00000176124.11"	"DLEU1"	chr13	+	50390197	50390291	50415089	50415202	50274931	50275046	50433412	50433550	800	2,4,1	0,23,3	0,0,1	6,6,6	183	202	0.00159305508764	0.0170352241124	1.0,0.161,0.269	0.0,0.0,0.155	0.425
1937	"ENSG00000080823.21"	"MOK"	chr14	-	102263545	102263616	102265822	102265912	102251916	102251995	102283477	102283592	1937	12,6,3	29,7,15	0,1,2	3,16,6	179	160	0.0016070924453	0.0170608002345	0.27,0.434,0.152	0.0,0.053,0.23	0.191
2413	"ENSG00000187630.15"	"DHRS4L2"	chr14	+	23995031	23995133	24001383	24001517	23990181	23990359	24004336	24004392	2413	50,51,27	18,28,11	33,18,34	3,3,9	191	223	0.00167004505028	0.0174758285619	0.764,0.68,0.741	0.928,0.875,0.815	-0.144
494	"ENSG00000205581.10"	"HMGN1"	chr21	-	39347246	39347292	39347378	39347478	39345145	39345274	39348291	39348339	494	184,178,89	8,8,4	38,121,62	1,0,2	189	135	0.00166948447054	0.0174758285619	0.943,0.941,0.941	0.964,1.0,0.957	-0.032
1646	"ENSG00000122958.14"	"VPS26A"	chr10	+	69157006	69157163	69158046	69158211	69132897	69133047	69162405	69162512	1646	310,221,95	638,599,266	131,182,216	171,294,446	246	254	0.00178513772699	0.0185477075889	0.334,0.276,0.269	0.442,0.39,0.333	-0.095
730	"ENSG00000051180.16"	"RAD51"	chr15	+	40709024	40709116	40718885	40718899	40701063	40701201	40728710	40728824	730	7,9,8	15,13,3	2,0,1	3,6,4	181	103	0.0018339516085	0.0189206979328	0.21,0.283,0.603	0.275,0.0,0.125	0.232
660	"ENSG00000105655.18"	"ISYNA1"	chr19	-	18436972	18437105	18437598	18437760	18436329	18436479	18437859	18437988	660	510,461,176	164,124,54	541,395,489	272,140,201	251	222	0.00194349834762	0.0197723963838	0.733,0.767,0.742	0.638,0.714,0.683	0.069
692	"ENSG00000133794.17"	"ARNTL"	chr11	+	13326412	13326467	13349944	13350070	13309986	13310059	13354300	13354448	692	4,5,2	89,89,37	2,0,0	65,50,76	144	215	0.00194273560462	0.0197723963838	0.063,0.077,0.075	0.044,0.0,0.0	0.057
1383	"ENSG00000204120.14"	"GIGYF2"	chr2	+	232731121	232731234	232734416	232734486	232703423	232703489	232735154	232735238	1383	3,1,0	43,20,9	1,2,7	10,7,14	202	159	0.00209304951852	0.0211470175492	0.052,0.038,0.0	0.073,0.184,0.282	-0.15
1418	"ENSG00000139620.12"	"KANSL2"	chr12	-	48660365	48660619	48662559	48662654	48654940	48655060	48667692	48667789	1418	25,34,18	540,524,272	7,9,5	210,261,261	184	343	0.00219456518631	0.0218710067887	0.079,0.108,0.11	0.059,0.06,0.034	0.048
847	"ENSG00000140853.15"	"NLRC5"	chr16	+	57055435	57055519	57058064	57058148	57055031	57055094	57058971	57059061	847	4,2,1	2,5,2	0,0,1	1,2,0	173	173	0.00218169021801	0.0218710067887	0.667,0.286,0.333	0.0,0.0,1.0	0.095
152	"ENSG00000090554.12"	"FLT3LG"	chr19	+	49478962	49479047	49480297	49480476	49476422	49476566	49480551	49480620	152	2,3,3	13,18,5	1,1,0	9,6,12	174	268	0.00229957928585	0.0227627273903	0.192,0.204,0.48	0.146,0.204,0.0	0.175
1968	"ENSG00000082269.16"	"FAM135A"	chr6	+	70426438	70426532	70426569	70426709	70415290	70415376	70428303	70428419	1968	64,79,21	11,25,3	27,26,41	19,12,19	183	229	0.00237438231738	0.0233454368789	0.879,0.798,0.898	0.64,0.731,0.73	0.158
858	"ENSG00000102878.16"	"HSF4"	chr16	+	67167302	67167402	67167474	67167599	67167119	67167222	67167823	67167947	858	2,2,0	31,21,12	5,11,8	30,44,56	189	214	0.00248432750658	0.0242635986476	0.068,0.097,0.0	0.159,0.221,0.139	-0.118
162	"ENSG00000111596.11"	"CNOT2"	chr12	+	70294070	70294294	70301704	70301865	70278131	70278274	70310894	70311017	162	12,11,1	39,17,11	15,15,19	9,9,27	313	250	0.0025838291102	0.0250682758043	0.197,0.341,0.068	0.571,0.571,0.36	-0.299
828	"ENSG00000153310.18"	"FAM49B"	chr8	-	129912469	129912515	129948965	129949067	129904498	129904585	129970942	129970995	828	2,4,1	13,6,6	0,0,1	4,4,4	191	135	0.00266717422016	0.0257066462667	0.098,0.32,0.105	0.0,0.0,0.15	0.124
1035	"ENSG00000171204.12"	"TMEM126B"	chr11	+	85629131	85629262	85631144	85631316	85628592	85628688	85631686	85631808	1035	16,17,12	247,261,109	4,5,0	75,124,92	220	261	0.00279474780875	0.0267601669269	0.071,0.072,0.116	0.06,0.046,0.0	0.051
1744	"ENSG00000110497.14"	"AMBRA1"	chr11	-	46508190	46508370	46512726	46512813	46494123	46494204	46541944	46543398	1744	28,17,13	77,90,39	0,2,10	21,37,49	176	269	0.00301902520286	0.0285782211147	0.357,0.224,0.338	0.0,0.076,0.238	0.202
493	"ENSG00000205581.10"	"HMGN1"	chr21	-	39347246	39347292	39347378	39347483	39345145	39345274	39348291	39348339	493	223,211,115	8,8,4	55,119,74	1,0,2	194	135	0.00302363431589	0.0285782211147	0.951,0.948,0.952	0.975,1.0,0.963	-0.029
465	"ENSG00000119787.13"	"ATL2"	chr2	-	38343267	38343512	38354066	38354177	38318884	38319019	38377142	38377262	465	13,17,5	973,989,468	3,4,3	546,641,686	200	334	0.00325194106216	0.0305390618978	0.022,0.028,0.018	0.009,0.01,0.007	0.014
1358	"ENSG00000173818.16"	"ENDOV"	chr17	+	80417780	80417945	80422139	80422245	80415649	80415821	80423519	80423632	1358	1,2,3	26,19,8	4,5,15	14,22,23	254	195	0.00343959810763	0.0320956129151	0.029,0.075,0.224	0.18,0.149,0.334	-0.112
1192	"ENSG00000183889.12"	"AC138969.4"	chr16	+	16335860	16335992	16336051	16336137	16333646	16333884	16340305	16340434	1192	11,3,14	5,2,4	1,17,5	8,7,34	221	175	0.0035641208815	0.0330305064889	0.635,0.543,0.735	0.09,0.658,0.104	0.354
1463	"ENSG00000268043.7"	"NBPF12"	chr1	+	146970646	146970719	146976928	146977001	146969381	146969596	146977465	146977671	1463	2,0,0	11,5,10	0,1,6	14,13,13	162	162	0.00358522596181	0.0330305064889	0.154,0.0,0.0	0.0,0.071,0.316	-0.078
1778	"ENSG00000164253.13"	"WDR41"	chr5	-	77449759	77449860	77453816	77453928	77440812	77440997	77459061	77459124	1778	293,248,89	169,143,57	217,244,252	188,187,220	201	190	0.00360742732985	0.0330305064889	0.621,0.621,0.596	0.522,0.552,0.52	0.081
2478	"ENSG00000071564.14"	"TCF3"	chr19	-	1612206	1612433	1615284	1615520	1611703	1611849	1615685	1615821	2478	867,851,382	1179,1087,537	491,467,689	808,894,1184	325	316	0.00386706367696	0.0351878775574	0.417,0.432,0.409	0.371,0.337,0.361	0.063
2141	"ENSG00000068305.17"	"MEF2A"	chr15	+	99671322	99671454	99671519	99671657	99645560	99645764	99674392	99674612	2141	92,80,35	68,77,25	79,80,181	38,48,86	221	227	0.0039019588435	0.0352862327514	0.582,0.516,0.59	0.681,0.631,0.684	-0.103
154	"ENSG00000254788.7"	"CKLF-CMTM1"	chr16	+	66558189	66558348	66563121	66563217	66552678	66552793	66577103	66577202	154	148,160,49	171,158,64	86,78,78	69,60,40	248	185	0.00397488657785	0.0357252075862	0.392,0.43,0.364	0.482,0.492,0.593	-0.127
1583	"ENSG00000142192.20"	"APP"	chr21	-	25997359	25997416	26000014	26000182	25982343	25982477	26021839	26022042	1583	2294,2086,988	241,242,126	2311,2048,3020	190,188,252	257	146	0.00402967669355	0.0359968070491	0.844,0.83,0.817	0.874,0.861,0.872	-0.039
1606	"ENSG00000130158.13"	"DOCK6"	chr19	-	11229297	11229390	11232184	11232289	11228939	11229035	11233202	11233366	1606	8,9,2	21,22,8	21,8,26	10,10,34	194	182	0.00432847258493	0.0383978414585	0.263,0.277,0.19	0.663,0.429,0.418	-0.26
1861	"ENSG00000087586.17"	"AURKA"	chr20	-	56388311	56388506	56388686	56388784	56388155	56388202	56390555	56390665	1861	281,310,145	3,6,1	171,155,227	9,5,9	187	284	0.00435088169427	0.0383978414585	0.993,0.987,0.995	0.967,0.979,0.975	0.018
859	"ENSG00000102878.16"	"HSF4"	chr16	+	67167302	67167402	67167460	67167599	67167119	67167222	67167823	67167947	859	2,2,0	21,10,7	5,11,8	23,13,36	189	228	0.00445315497449	0.0390651020217	0.103,0.194,0.0	0.208,0.505,0.211	-0.209
974	"ENSG00000132600.16"	"PRMT7"	chr16	+	68315896	68316074	68321425	68321462	68312041	68312176	68324682	68324832	974	127,169,55	34,38,25	23,42,54	4,6,5	267	126	0.00449375009976	0.0391865708104	0.638,0.677,0.509	0.731,0.768,0.836	-0.17
1516	"ENSG00000131374.14"	"TBC1D5"	chr3	-	17518901	17518995	17622647	17622765	17508473	17508605	17623848	17623913	1516	5,13,2	2,2,1	2,0,4	3,1,5	207	183	0.00461512933313	0.0398301475767	0.688,0.852,0.639	0.371,0.0,0.414	0.465
831	"ENSG00000153310.18"	"FAM49B"	chr8	-	129880375	129880458	129896748	129896854	129879388	129879471	129903311	129903350	831	8,1,4	43,43,18	0,1,1	4,14,14	195	172	0.00462192838774	0.0398301475767	0.141,0.02,0.164	0.0,0.059,0.059	0.069
1820	"ENSG00000182389.19"	"CACNB4"	chr2	-	151860710	151860820	151870530	151870611	151855223	151855375	151870841	151870861	1820	1,3,1	2,0,0	2,5,9	9,2,3	170	199	0.00473117819164	0.0405331932793	0.369,1.0,1.0	0.206,0.745,0.778	0.213
1503	"ENSG00000143537.13"	"ADAM15"	chr1	+	155061417	155061489	155061903	155062117	155060762	155060832	155062244	155062369	1503	24,36,12	59,74,39	18,18,29	26,19,36	161	303	0.00487940654616	0.0410823597134	0.434,0.478,0.367	0.566,0.641,0.603	-0.177
1650	"ENSG00000159147.17"	"DONSON"	chr21	-	33583487	33583666	33584589	33584768	33582164	33582246	33585977	33586181	1650	409,388,138	451,361,156	135,155,181	112,96,145	268	268	0.0048368499669	0.0410823597134	0.476,0.518,0.469	0.547,0.618,0.555	-0.086
2499	"ENSG00000215126.10"	"CBWD7"	chr9	-	41170283	41170423	41171846	41171934	41166783	41166830	41172711	41172749	2499	40,20,12	1,0,0	7,46,39	1,0,8	177	229	0.00487347858777	0.0410823597134	0.981,1.0,1.0	0.901,1.0,0.863	0.072
857	"ENSG00000102878.16"	"HSF4"	chr16	+	67167474	67167599	67167823	67167947	67167302	67167402	67168830	67168936	857	14,8,6	21,18,13	15,9,21	64,57,84	214	213	0.00494150314647	0.0413674406262	0.399,0.307,0.315	0.189,0.136,0.199	0.166
1017	"ENSG00000128595.16"	"CALU"	chr7	+	128754261	128754455	128754528	128754722	128748572	128748804	128758870	128759037	1017	2126,2237,1090	562,576,214	1290,1469,1840	489,393,551	283	283	0.00512434943927	0.0419395079806	0.791,0.795,0.836	0.725,0.789,0.77	0.046
1562	"ENSG00000204138.12"	"PHACTR4"	chr1	+	28432930	28433046	28457831	28457855	28407409	28407463	28459084	28459258	1562	2,0,0	14,2,4	0,3,4	6,1,6	205	113	0.00510499859992	0.0419395079806	0.073,0.0,0.0	0.0,0.623,0.269	-0.273
2435	"ENSG00000148737.16"	"TCF7L2"	chr10	+	113158666	113158717	113159919	113159992	113158020	113158069	113165554	113167678	2435	65,44,16	17,32,8	18,18,35	2,1,10	140	162	0.00511827557859	0.0419395079806	0.816,0.614,0.698	0.912,0.954,0.802	-0.18
471	"ENSG00000217555.12"	"CKLF"	chr16	+	66558189	66558348	66563121	66563217	66552568	66552793	66565885	66566072	471	154,161,51	324,300,126	91,84,84	147,122,69	248	185	0.00506694979728	0.0419395079806	0.262,0.286,0.232	0.316,0.339,0.476	-0.117
1036	"ENSG00000171204.12"	"TMEM126B"	chr11	+	85629131	85629203	85631144	85631316	85628596	85628688	85631686	85631808	1036	7,7,4	247,261,109	1,2,0	75,124,92	161	261	0.00544866027107	0.0442634992204	0.044,0.042,0.056	0.021,0.025,0.0	0.032
926	"ENSG00000196876.14"	"SCN8A"	chr12	+	51688757	51688849	51689004	51689096	51687090	51687219	51699569	51699791	926	2,3,0	3,4,2	0,0,1	1,2,3	181	181	0.00546873266818	0.0442634992204	0.4,0.429,0.0	0.0,0.0,0.25	0.193
2257	"ENSG00000118495.18"	"PLAGL1"	chr6	-	143947984	143948460	143960468	143960542	143940301	143942663	143968906	143968978	2257	24,13,5	377,419,187	11,43,25	224,271,363	163	565	0.00550614874503	0.044321472041	0.181,0.097,0.085	0.145,0.355,0.193	-0.11
526	"ENSG00000185379.20"	"RAD51D"	chr17	-	35107365	35107447	35116858	35117037	35106987	35107122	35118500	35118619	526	5,7,0	33,44,16	5,2,8	3,12,10	268	171	0.0058377476115	0.0467338811522	0.088,0.092,0.0	0.515,0.096,0.338	-0.256
593	"ENSG00000118961.14"	"LDAH"	chr2	-	20790254	20790398	20801291	20801465	20774809	20774979	20823036	20823130	593	137,110,48	196,169,62	73,63,102	48,74,93	263	233	0.00607587895265	0.0483758840523	0.382,0.366,0.407	0.574,0.43,0.493	-0.114
630	"ENSG00000025293.16"	"PHF20"	chr20	+	35858301	35858381	35863012	35863400	35847349	35847434	35869437	35869551	630	72,78,36	359,334,104	36,63,122	240,429,740	169	477	0.00616183353783	0.048795060178	0.361,0.397,0.494	0.297,0.293,0.318	0.115
1015	"ENSG00000166479.9"	"TMX3"	chr18	-	68701744	68701790	68710020	68710144	68700404	68700485	68711363	68711403	1015	155,158,53	4,5,3	56,77,102	0,1,1	213	135	0.00621414076753	0.048944710884	0.961,0.952,0.918	1.0,0.98,0.985	-0.045
2477	"ENSG00000071564.14"	"TCF3"	chr19	-	1612206	1612430	1615284	1615520	1611703	1611849	1615685	1615821	2477	867,851,382	942,902,432	491,467,689	635,697,992	325	313	0.00625951613442	0.0490384552777	0.47,0.476,0.46	0.427,0.392,0.401	0.062
2099	"ENSG00000149532.15"	"CPSF7"	chr11	-	61421053	61421130	61421191	61421257	61420469	61420573	61421389	61421608	2099	51,54,16	51,65,18	13,28,25	5,16,16	155	166	0.00637777017871	0.0496991133607	0.517,0.471,0.488	0.736,0.652,0.626	-0.179
738	"ENSG00000111834.12"	"RSPH4A"	chr6	+	116627628	116628369	116629566	116629702	116622767	116623002	116630434	116630552	738	8,3,2	1,3,0	2,6,3	0,0,0	830	225	0.00642057531818	0.0497679515404	0.684,0.213,1.0	1.0,1.0,1.0	-0.368
